Planner,File,Number_Actions,Duration,Search_Time,States_Evaluated,Cost
sgplan,pfile1.txt,10,58.871,0.0,-,58.871
sgplan,pfile2.txt,15,73.126,0.0,-,73.126
sgplan,pfile3.txt,60,361.51,0.03,-,361.51
sgplan,pfile4.txt,30,165.724,0.02,-,165.724
sgplan,pfile5.txt,106,1689.14,0.5,-,1689.14
sgplan,pfile7.txt,27,141.985,0.0,-,141.985
sgplan,pfile8.txt,41,126.839,0.01,-,126.839
sgplan,pfile9.txt,85,1882.502,0.06,-,1882.502
sgplan,pfile10.txt,28,294.111,0.01,-,294.111
sgplan,pfile11.txt,83,1780.012,0.09,-,1780.012
sgplan,pfile12.txt,80,141.524,0.08,-,141.524
sgplan,pfile13.txt,26,102.892,0.0,-,102.892
sgplan,pfile14.txt,35,310.068,0.02,-,310.068
sgplan,pfile16.txt,28,166.084,0.01,-,166.084
sgplan,pfile17.txt,28,143.028,0.01,-,143.028
sgplan,pfile18.txt,83,598.578,0.11,-,598.578
sgplan,pfile19.txt,48,486.077,0.02,-,486.077
sgplan,pfile20.txt,104,1233.248,2.63,-,1233.248
sgplan,pfile21.txt,34,87.351,0.11,-,87.351
sgplan,pfile22.txt,100,284.75,5.16,-,284.75
lpg,pfile1.txt,12,45.375,0.01,90,53.931
lpg,pfile2.txt,16,53.333,0.01,210,59.556
lpg,pfile3.txt,30,81.458,0.0,378,95.958
lpg,pfile4.txt,30,105.349,0.01,594,133.349
lpg,pfile5.txt,127,745.167,0.06,858,830.167
lpg,pfile6.txt,92,287.168,0.05,1728,317.835
lpg,pfile7.txt,28,95.143,0.01,450,105.768
lpg,pfile8.txt,43,55.286,0.01,978,59.661
lpg,pfile9.txt,59,1248.0,1.8,1908,1343.0
lpg,pfile10.txt,25,218.5,0.01,900,233.5
lpg,pfile11.txt,68,565.222,0.05,1932,585.222
lpg,pfile12.txt,74,123.9,0.1,3762,127.678
lpg,pfile13.txt,33,77.25,0.02,1068,99.917
lpg,pfile14.txt,34,138.867,0.02,2212,152.367
lpg,pfile15.txt,82,231.983,0.09,4182,262.316
lpg,pfile16.txt,31,75.0,0.02,1516,95.0
lpg,pfile17.txt,27,61.0,0.05,3114,66.6
lpg,pfile18.txt,65,265.512,0.11,5824,271.512
lpg,pfile19.txt,44,222.172,0.03,2512,233.772
lpg,pfile20.txt,77,254.667,0.15,6166,298.625
lpg,pfile21.txt,48,90.667,0.15,8934,99.167
lpg,pfile22.txt,116,286.965,1.02,22924,293.565
