Planner,File,Number_Actions,Duration,Search_Time,States_Evaluated,Cost
sgplan,pfile1.txt,8,302.00800000000004,0.0,-,302.008
sgplan,pfile2.txt,22,283.022,0.0,-,283.022
sgplan,pfile3.txt,13,202.013,0.0,-,202.013
sgplan,pfile4.txt,18,250.018,0.01,-,250.018
sgplan,pfile5.txt,24,239.024,0.01,-,239.024
sgplan,pfile6.txt,11,168.011,0.01,-,168.011
sgplan,pfile7.txt,17,423.017,0.01,-,423.017
sgplan,pfile8.txt,26,807.026,0.01,-,807.026
sgplan,pfile9.txt,32,874.032,0.01,-,874.032
sgplan,pfile10.txt,19,482.019,0.0,-,482.019
sgplan,pfile11.txt,22,626.022,0.0,-,626.022
sgplan,pfile12.txt,41,834.041,0.31,-,834.041
sgplan,pfile13.txt,34,1249.067,0.0,-,1249.067
sgplan,pfile14.txt,52,1319.103,0.19,-,1319.103
sgplan,pfile15.txt,47,1271.093,0.01,-,1271.093
sgplan,pfile17.txt,116,2783.461,2.39,-,2783.461
sgplan,pfile18.txt,105,1481.209,7.94,-,1481.209
lpg,pfile1.txt,10,304.0,0.0,88,304.0
lpg,pfile2.txt,26,714.0,0.01,108,714.0
lpg,pfile3.txt,15,287.0,0.01,120,287.0
lpg,pfile4.txt,19,530.0,0.0,144,530.0
lpg,pfile5.txt,33,319.0,0.01,168,319.0
lpg,pfile6.txt,26,785.0,0.01,222,785.0
lpg,pfile7.txt,16,472.0,0.01,252,472.0
lpg,pfile8.txt,28,769.0,0.01,270,769.0
lpg,pfile9.txt,61,924.0,0.0,384,924.0
lpg,pfile10.txt,28,450.0,0.0,516,450.0
lpg,pfile11.txt,25,683.0,0.01,616,683.0
lpg,pfile12.txt,57,1317.0,0.03,948,1317.0
lpg,pfile13.txt,52,1340.0,0.03,1148,1340.0
lpg,pfile14.txt,54,1489.0,0.07,1158,1489.0
lpg,pfile15.txt,49,1427.0,0.04,2592,1427.0
lpg,pfile16.txt,640,10759.0,11.35,5040,10759.0
lpg,pfile17.txt,312,5509.0,0.62,6170,5509.0
lpg,pfile18.txt,161,2460.0,0.76,8960,2460.0
lpg,pfile19.txt,245,3541.0,2.45,10010,3541.0
lpg,pfile20.txt,147,2257.0,3.62,15696,2257.0
