Planner,File,Number_Actions,Duration,Search_Time,States_Evaluated,Cost
sgplan,pfile1.txt,35,182.681,0.0,-,182.681
sgplan,pfile2.txt,29,149.652,0.0,-,149.652
sgplan,pfile3.txt,42,172.509,0.0,-,172.509
sgplan,pfile4.txt,14,4796.16,0.0,-,4796.16
sgplan,pfile5.txt,38,9621.539,0.0,-,9621.539
sgplan,pfile6.txt,190,29174.172,0.0,-,29174.172
sgplan,pfile7.txt,38,7998.906,0.0,-,7998.906
sgplan,pfile8.txt,73,257.749,0.0,-,257.749
sgplan,pfile9.txt,224,837.971,0.01,-,837.971
sgplan,pfile10.txt,116,381.811,0.01,-,381.811
sgplan,pfile11.txt,87,231.504,0.0,-,231.504
sgplan,pfile12.txt,87,346.114,0.0,-,346.114
sgplan,pfile13.txt,185,739.181,0.01,-,739.181
sgplan,pfile14.txt,170,589.776,0.0,-,589.776
sgplan,pfile15.txt,149,460.164,0.01,-,460.164
sgplan,pfile16.txt,222,775.233,0.01,-,775.233
sgplan,pfile17.txt,187,25867.848,0.01,-,25867.848
sgplan,pfile18.txt,183,21045.869,0.02,-,21045.869
sgplan,pfile19.txt,193,32721.814,0.07,-,32721.814
sgplan,pfile20.txt,326,31567.842,0.14,-,31567.842
lpg,pfile1.txt,17,110.091,0.01,64,110.091
lpg,pfile2.txt,8,66.0,0.01,55,66.0
lpg,pfile3.txt,15,98.875,0.01,80,98.875
lpg,pfile4.txt,8,60.0,0.02,89,60.0
lpg,pfile5.txt,25,148.067,0.01,146,148.067
lpg,pfile6.txt,106,392.581,0.07,180,392.581
lpg,pfile7.txt,19,102.0,0.01,154,102.0
lpg,pfile8.txt,39,189.423,0.01,340,189.423
lpg,pfile9.txt,72,356.875,0.13,366,356.875
lpg,pfile10.txt,42,189.467,0.01,388,189.467
lpg,pfile11.txt,49,156.6,0.02,452,156.6
lpg,pfile12.txt,34,151.647,0.01,374,151.647
lpg,pfile13.txt,78,292.417,0.15,757,292.417
lpg,pfile14.txt,48,200.019,0.03,533,200.019
lpg,pfile15.txt,50,201.114,0.02,775,201.114
lpg,pfile16.txt,89,351.058,0.04,683,351.058
lpg,pfile17.txt,110,396.824,0.05,1245,396.824
lpg,pfile18.txt,67,210.818,0.07,1873,210.818
lpg,pfile19.txt,82,303.818,0.13,2892,303.818
lpg,pfile20.txt,230,719.626,1.3,4040,719.626
