Planner,File,Number_Actions,Duration,Search_Time,States_Evaluated,Cost
sgplan,pfile1.txt,9,224.189,0.0,-,224.18
sgplan,pfile2.txt,17,239.62099,0.0,-,239.604
sgplan,pfile3.txt,12,183.8367,0.0,-,183.825
sgplan,pfile4.txt,21,428.25401,0.0,-,428.233
sgplan,pfile5.txt,16,394.229,0.0,-,394.213
sgplan,pfile6.txt,24,550.11298,0.0,-,550.089
sgplan,pfile7.txt,22,349.625,0.0,-,349.603
sgplan,pfile8.txt,26,413.17603,0.0,-,413.15
sgplan,pfile9.txt,34,888.68152,0.01,-,888.648
sgplan,pfile10.txt,35,921.08311,0.01,-,921.048
sgplan,pfile11.txt,34,873.59098,0.01,-,873.557
sgplan,pfile12.txt,72,1452.46509,0.03,-,1452.393
sgplan,pfile13.txt,60,971.7056699999999,0.07,-,971.646
sgplan,pfile14.txt,44,727.5720699999999,0.06,-,727.528
sgplan,pfile15.txt,51,852.89416,0.09,-,852.843
sgplan,pfile16.txt,54,1216.54437,0.1,-,1216.49
sgplan,pfile17.txt,46,878.8666900000001,0.12,-,878.821
sgplan,pfile18.txt,35,810.22113,0.04,-,810.186
sgplan,pfile19.txt,70,1686.27596,0.06,-,1686.206
sgplan,pfile20.txt,92,1751.5870499999999,0.08,-,1751.495
lpg,pfile1.txt,9,205.28,0.01,59,205.28
lpg,pfile2.txt,13,235.12,0.0,110,235.12
lpg,pfile3.txt,14,117.58,0.0,204,117.58
lpg,pfile4.txt,21,269.92,0.01,279,269.92
lpg,pfile5.txt,20,214.63,0.01,527,214.63
lpg,pfile6.txt,22,428.541,0.01,488,428.541
lpg,pfile7.txt,24,397.148,0.01,804,397.148
lpg,pfile8.txt,29,220.63,0.0,1245,220.63
lpg,pfile9.txt,32,304.119,0.0,1548,304.119
lpg,pfile10.txt,34,357.619,0.01,1869,357.619
lpg,pfile11.txt,32,317.397,0.01,2387,317.397
lpg,pfile12.txt,50,526.566,0.03,3680,526.566
lpg,pfile13.txt,62,558.935,0.04,5067,558.935
lpg,pfile14.txt,43,306.866,0.02,4461,306.866
lpg,pfile15.txt,56,402.88,0.04,5832,402.88
lpg,pfile16.txt,53,526.537,0.04,7444,526.537
lpg,pfile17.txt,50,592.916,0.04,8622,592.916
lpg,pfile18.txt,36,290.327,0.02,3714,290.327
lpg,pfile19.txt,73,508.014,0.04,4425,508.014
lpg,pfile20.txt,98,698.179,0.07,4562,698.179
