Planner,File,Number_Actions,Duration,Search_Time,States_Evaluated,Cost
sgplan,pfile1.txt,1,3.4252,0.0,-,27.261
sgplan,pfile2.txt,8,36.2505,0.0,-,43.81
sgplan,pfile3.txt,10,18.4349,0.0,-,32.829
sgplan,pfile4.txt,12,22.2416,0.0,-,132.043
sgplan,pfile5.txt,18,15.014999999999999,0.0,-,31.855
sgplan,pfile6.txt,16,25.956000000000003,0.0,-,59.461
sgplan,pfile7.txt,21,60.2953,0.0,-,326.697
sgplan,pfile8.txt,16,25.646,0.0,-,170.453
sgplan,pfile9.txt,28,25.514000000000003,0.0,-,86.136
sgplan,pfile10.txt,31,20.657,0.0,-,171.97
sgplan,pfile11.txt,20,26.650000000000002,0.0,-,160.496
sgplan,pfile12.txt,28,30.027,0.0,-,131.368
sgplan,pfile13.txt,38,62.732,0.0,-,167.642
sgplan,pfile14.txt,45,51.2657,0.05,-,472.813
sgplan,pfile15.txt,55,182.23499999999999,0.04,-,707.548
sgplan,pfile16.txt,60,70.75609999999999,0.18,-,499.978
sgplan,pfile17.txt,87,83.967,0.24,-,468.603
sgplan,pfile18.txt,82,99.104,0.36,-,339.722
sgplan,pfile19.txt,114,111.988,0.61,-,529.978
sgplan,pfile20.txt,103,50.973,0.24,-,550.81
lpg,pfile1.txt,2,3.671,0.01,33,65.535
lpg,pfile2.txt,6,23.431,0.01,39,30.211
lpg,pfile3.txt,7,10.653,0.01,90,18.153
lpg,pfile4.txt,12,19.764,0.01,102,108.46
lpg,pfile5.txt,23,35.43,0.01,136,65.232
lpg,pfile6.txt,19,28.781,0.01,152,92.456
lpg,pfile7.txt,21,29.206,0.01,168,170.748
lpg,pfile8.txt,21,62.108,0.01,345,366.359
lpg,pfile9.txt,38,52.768,0.01,375,170.41
lpg,pfile10.txt,37,31.073,0.01,405,245.91
lpg,pfile11.txt,25,37.259,0.01,486,228.666
lpg,pfile12.txt,34,50.485,0.01,522,220.471
lpg,pfile13.txt,45,80.563,0.03,594,245.434
lpg,pfile14.txt,54,59.123,0.12,2050,574.129
lpg,pfile15.txt,73,287.135,0.32,3300,1060.1
lpg,pfile16.txt,86,109.139,0.53,4130,732.648
lpg,pfile17.txt,107,70.416,1.54,5840,456.87
lpg,pfile18.txt,120,105.444,3.17,6930,483.688
lpg,pfile19.txt,120,204.901,5.23,9100,556.927
lpg,pfile20.txt,130,78.514,5.14,10450,901.27
